	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	4	31	25	76	150	5	49
1	0	0	0	906	0	0	0
2	0	0	0	0	0	83	0
3	0	0	0	0	72	0	0
4	0	0	0	0	0	0	0
5	0	0	368	0	0	894	0
6	0	0	0	0	287	0	0
7	0	615	0	0	0	0	0
8	0	55	0	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	145	0	0	0	0
11	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0
14	127	0	0	0	0	106	0
15	0	443	0	0	0	0	0
16	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0
18	0	131	0	0	0	0	0
19	60	0	0	0	0	0	0
20	447	0	0	0	0	0	0
21	0	0	0	0	0	0	88
22	13	0	0	0	0	0	0
23	6	0	0	412	0	0	47
24	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0
31	0	0	20	0	0	0	0
32	0	0	119	0	0	0	0
33	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0
35	0	0	0	0	0	0	3
36	0	0	0	0	0	0	0
37	0	0	0	70	0	0	0
38	0	0	0	0	0	0	0
39	0	0	0	119	0	6	0
40	236	0	0	0	0	0	0
41	185	0	0	0	250	0	0
42	0	0	0	0	0	0	0
43	0	335	0	0	0	0	0
44	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0
47	0	0	0	110	0	0	906
48	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0
53	0	0	0	0	243	0	0
54	0	0	0	0	0	0	0
55	0	0	0	0	0	0	404
56	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0
58	0	0	168	0	0	189	0
59	0	0	0	0	0	0	0
